name,href,price,Subcategory,SubSubCategory,request_avg_time
Posh Canterbury Gooseneck Basin Mixer    Tap Matte Black (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/posh-canterbury-gooseneck-basin-mixer-tap-matte-9509151,5,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Silk Basin Mixer Brushed Nickel (5  Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-silk-basin-mixer-brushed-nickel-5-star-9510732,49,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Silk Basin Mixer Brushed Gunmetal   (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-silk-basin-mixer-brushed-gunmetal-5-star-9510733,45,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Pin Basin Mixer Tap 8L Chrome     (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-pin-basin-mixer-tap-8l-chrome-5-star-100734,35,Basin Tapware,Basin Mixers,1.681137204170227
Caroma G Series E Hands Free Single      Temperature Basin Mixer Tap Chrome  (6   Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-g-series-e-hands-free-single-136936,60,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Saracom Basin Mixer Tap Chrome    (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-saracom-basin-mixer-tap-chrome-6-star-180410,82,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Cirrus Basin Mixer Tap Chrome     (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-cirrus-basin-mixer-tap-chrome-5-star-180500,28,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Cirrus Wall Basin Mixer Tap       200mm Chrome  (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-cirrus-wall-basin-mixer-tap-200mm-180501,69,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Saracom Tower Basin Mixer Tap     Chrome  (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-saracom-tower-basin-mixer-tap-chrome-182083,70,Basin Tapware,Basin Mixers,1.681137204170227
Scala Mini Basin / Sink Mixer Tap Small  Square Right Hand Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-mini-basin-sink-mixer-tap-small-square-225943,72,Basin Tapware,Basin Mixers,1.681137204170227
Scala Mini Twin Handle Mixer Tap Large   Curved Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-mini-twin-handle-mixer-tap-large-curved-225946,1,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Track Basin Mixer Tap Chrome (5   Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-track-basin-mixer-tap-chrome-5-star-2204538,97,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Track Mini Basin Mixer Tap        Chrome  (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-track-mini-basin-mixer-tap-chrome-2204583,28,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Basin Mixer Tap Curved Spout  Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-basin-mixer-tap-curved-spout-chrome-5-2224882,82,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Basin Mixer Tap Curved Spout  Gunmetal (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-basin-mixer-tap-curved-spout-gunmetal-2224884,98,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Extended Basin Mixer Tap      Curved Spout Brushed Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-extended-basin-mixer-tap-curved-2224893,28,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Basin Mixer Tap Curved Spout  with Diamond Textured Handle Brushed     Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-basin-mixer-tap-curved-spout-with-2224897,84,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Basin Mixer Tap Curved Spout  with Linear Textured Handle Brushed      Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-basin-mixer-tap-curved-spout-with-2224909,17,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Medium Height Basin Mixer     Tap Curved Spout with Linear Textured    Handle Brushed Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-medium-height-basin-mixer-tap-2224913,7,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Extended Basin Mixer Tap      Curved Spout with Linear Textured        Handle Matte Black (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-extended-basin-mixer-tap-curved-2224915,31,Basin Tapware,Basin Mixers,1.681137204170227
Milli Axon Basin Mixer Tap Chrome (6     Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-axon-basin-mixer-tap-chrome-6-star-2252061,13,Basin Tapware,Basin Mixers,1.681137204170227
Milli Axon Basin Mixer Tap Rose Gold/    Black (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-axon-basin-mixer-tap-rose-gold-black-6-2259659,90,Basin Tapware,Basin Mixers,1.681137204170227
Scala Basin Mixer Tap Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-basin-mixer-tap-chrome-5-star-2261570,25,Basin Tapware,Basin Mixers,1.681137204170227
Scala Basin Mixer Tap with 150mm         Extension Pin Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-basin-mixer-tap-with-150mm-extension-2262110,3,Basin Tapware,Basin Mixers,1.681137204170227
Scala Medium Basin Mixer Tap 130mm       Outlet Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-medium-basin-mixer-tap-130mm-outlet-2262393,1,Basin Tapware,Basin Mixers,1.681137204170227
Scala Mini Basin / Sink Mixer Tap Small  Curved Left Hand Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-mini-basin-sink-mixer-tap-small-curved-2262894,24,Basin Tapware,Basin Mixers,1.681137204170227
Scala Basin Mixer Tap with 130mm Outlet  Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-basin-mixer-tap-with-130mm-outlet-chrome-5-2262939,39,Basin Tapware,Basin Mixers,1.681137204170227
